tempo,       mem, livreMem, swap, livreSwap, cpu, disponivel
387,     539,  1416,    0  ,  1688, 0.79   ,  1498
391,     539,  1416,    0  ,  1688, 0.79   ,  1497
395,     540,  1415,    0  ,  1688, 0.78   ,  1497
399,     540,  1415,    0  ,  1688, 0.78   ,  1497
403,     540,  1415,    0  ,  1688, 0.77   ,  1497
407,     540,  1415,    0  ,  1688, 0.77   ,  1497
411,     540,  1415,    0  ,  1688, 0.76   ,  1497
415,     540,  1415,    0  ,  1688, 0.76   ,  1497
419,     540,  1415,    0  ,  1688, 0.75   ,  1497
423,     540,  1415,    0  ,  1688, 0.75   ,  1497
427,     540,  1415,    0  ,  1688, 0.74   ,  1497
431,     540,  1415,    0  ,  1688, 0.73   ,  1497
435,     540,  1415,    0  ,  1688, 0.73   ,  1497
439,     534,  1421,    0  ,  1688, 0.72   ,  1503
443,     535,  1420,    0  ,  1688, 0.72   ,  1502
447,     536,  1419,    0  ,  1688, 0.72   ,  1500
452,     538,  1418,    0  ,  1688, 0.71   ,  1499
456,     539,  1416,    0  ,  1688, 0.71   ,  1497
460,     541,  1414,    0  ,  1688, 0.70   ,  1496
464,     542,  1413,    0  ,  1688, 0.70   ,  1496
468,     541,  1413,    0  ,  1688, 0.69   ,  1496
472,     541,  1413,    0  ,  1688, 0.69   ,  1495
476,     542,  1413,    0  ,  1688, 0.69   ,  1495
480,     542,  1413,    0  ,  1688, 0.68   ,  1496
484,     541,  1413,    0  ,  1688, 0.68   ,  1496
488,     542,  1413,    0  ,  1688, 0.67   ,  1496
492,     542,  1413,    0  ,  1688, 0.67   ,  1495
496,     542,  1413,    0  ,  1688, 0.67   ,  1496
500,     541,  1414,    0  ,  1688, 0.66   ,  1496
504,     541,  1414,    0  ,  1688, 0.66   ,  1496
508,     541,  1414,    0  ,  1688, 0.66   ,  1496
512,     541,  1414,    0  ,  1688, 0.65   ,  1496
516,     541,  1414,    0  ,  1688, 0.65   ,  1496
520,     541,  1414,    0  ,  1688, 0.65   ,  1496
524,     541,  1414,    0  ,  1688, 0.65   ,  1496
528,     541,  1414,    0  ,  1688, 0.64   ,  1496
532,     541,  1414,    0  ,  1688, 0.64   ,  1496
536,     541,  1414,    0  ,  1688, 0.64   ,  1496
540,     541,  1414,    0  ,  1688, 0.63   ,  1496
544,     541,  1414,    0  ,  1688, 0.63   ,  1496
548,     541,  1414,    0  ,  1688, 0.63   ,  1496
552,     541,  1414,    0  ,  1688, 0.62   ,  1496
556,     541,  1414,    0  ,  1688, 0.62   ,  1496
561,     541,  1414,    0  ,  1688, 0.62   ,  1496
565,     541,  1414,    0  ,  1688, 0.62   ,  1496
569,     541,  1414,    0  ,  1688, 0.61   ,  1496
573,     541,  1414,    0  ,  1688, 0.61   ,  1496
577,     541,  1414,    0  ,  1688, 0.61   ,  1496
581,     542,  1413,    0  ,  1688, 0.61   ,  1496
585,     542,  1413,    0  ,  1688, 0.60   ,  1496
589,     542,  1413,    0  ,  1688, 0.60   ,  1495
593,     542,  1413,    0  ,  1688, 0.60   ,  1495
597,     542,  1413,    0  ,  1688, 0.60   ,  1494
tempo,       mem, livreMem, swap, livreSwap, cpu, disponivel
0,     588,  1369,    0  ,  1688, 5.28   ,  1449
